Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,Temp9am,Humidity9am,Cloud9am,WindDir9am,WindSpeed9am,Pressure9am,Temp3pm,Humidity3pm,Cloud3pm,WindDir3pm,WindSpeed3pm,Pressure3pm,RainToday,RainTomorrow
2023-05-1,10.6,21.3,0.0,1.4,9.3,W,33.0,13.5,83.0,1,WNW,15,1015.0,19.3,43.0,1,WNW,11,1011.5,No,No
2023-05-2,11.2,22.9,0.0,5.0,9.1,W,46.0,15.9,68.0,1,WNW,19,1016.1,21.9,45.0,6,WSW,17,1014.2,No,No
2023-05-3,13.9,23.7,0.0,5.2,10.0,W,65.0,18.9,59.0,1,NNW,24,1014.4,23.3,28.0,1,WNW,35,1010.6,No,No
2023-05-4,11.6,20.8,0.0,7.4,10.0,W,48.0,14.1,52.0,1,W,26,1019.8,19.7,48.0,1,S,13,1018.5,No,No
2023-05-5,10.9,22.0,0.0,3.0,9.9,ENE,30.0,13.6,82.0,1,W,13,1019.6,20.3,60.0,1,ENE,22,1015.2,No,No
2023-05-6,10.5,22.5,0.0,4.8,10.0,W,31.0,13.6,77.0,5,WNW,17,1019.3,22.3,40.0,1,NNW,11,1015.6,No,No
2023-05-7,10.2,15.9,0.0,3.4,5.4,W,76.0,14.1,68.0,7,W,26,1015.7,15.8,48.0,3,W,30,1012.7,No,Yes
2023-05-8,7.1,16.3,10.2,4.0,4.8,W,67.0,11.6,50.0,2,W,33,1014.5,15.4,35.0,7,SSW,24,1015.8,Yes,No
2023-05-9,9.9,19.2,0.0,3.2,7.7,SSW,46.0,13.0,62.0,1,W,26,1021.0,17.7,51.0,7,S,20,1021.6,No,No
2023-05-10,9.7,19.8,0.0,4.0,9.8,W,30.0,13.1,68.0,1,WNW,24,1027.2,19.6,47.0,1,SSE,19,1025.7,No,No
2023-05-11,10.8,21.7,0.0,4.6,8.9,W,26.0,13.6,82.0,1,W,20,1030.2,20.7,62.0,2,E,13,1027.5,No,Yes
2023-05-12,11.1,22.7,1.6,2.8,9.5,W,20.0,13.9,88.0,1,WNW,17,1030.0,20.6,69.0,1,E,15,1026.9,Yes,No
2023-05-13,12.6,20.9,0.0,1.8,2.9,SSE,30.0,13.0,93.0,2,W,19,1032.0,18.6,65.0,7,SE,9,1029.7,No,Yes
2023-05-14,11.9,20.0,7.6,4.4,5.4,ESE,26.0,14.6,99.0,3,WNW,11,1030.7,18.7,83.0,7,ESE,20,1027.2,Yes,Yes
2023-05-15,12.0,20.9,3.4,2.4,4.5,E,30.0,13.9,99.0,7,WNW,17,1026.4,20.1,72.0,3, ,Calm,1022.3,Yes,No
2023-05-16,11.2,21.8,0.0,1.0,8.7,SSW,46.0,13.3,97.0,3,WNW,17,1020.1,20.5,38.0,1,SSE,20,1017.1,No,Yes
2023-05-17,11.8,17.8,30.6,4.0,5.6,SSW,54.0,14.2,80.0,7,SSW,20,1023.4,17.1,64.0,6,SSW,24,1022.1,Yes,Yes
2023-05-18,9.4,17.1,7.8,4.6,7.1,SSW,41.0,12.0,80.0,4,W,24,1021.2,16.8,62.0,8,SSW,24,1017.7,Yes,Yes
2023-05-19,8.5,19.8,0.4,2.8,9.6,W,35.0,11.4,73.0,1,W,22,1018.6,19.7,35.0,1,WNW,9,1014.9,Yes,No
2023-05-20,8.3,19.3,0.0,2.4,9.6,W,39.0,11.3,70.0,1,W,26,1016.9,18.5,41.0,3,W,19,1013.5,No,No
2023-05-21,10.2,19.4,0.0,5.0,7.9,WSW,74.0,14.7,53.0,4,NW,15,1013.9,18.4,47.0,3,W,39,1013.7,No,No
2023-05-22,8.3,20.4,0.0,3.6,9.2,W,35.0,11.8,71.0,0,W,22,1026.6,19.9,36.0,1,W,7,1024.2,No,No
2023-05-23,7.7,19.7,0.0,,9.5,WNW,26.0,11.6,66.0,0,WNW,19,1028.6,19.2,51.0,1,E,9,1026.1,No,No
2023-05-24,7.9,20.1,0.0,4.0,9.3,W,28.0,10.5,80.0,1,WNW,15,1027.2,19.1,56.0,0,E,7,1023.3,No,No
2023-05-25,8.1,20.0,0.0,2.2,3.7,NNW,26.0,11.2,72.0,6,W,7,1020.6,18.4,48.0,7,NW,2,1014.8,No,No
2023-05-26,11.1,17.5,0.0,3.6,1.6,SSE,61.0,17.4,61.0,7,S,26,1011.1,14.9,58.0,7,SSW,24,1014.0,No,No
2023-05-27,6.9,19.2,0.0,5.4,9.4,W,37.0,9.8,74.0,1,W,26,1018.5,18.5,35.0,1,NW,9,1014.8,No,No
2023-05-28,6.7,17.3,0.0,3.6,5.7,W,35.0,9.7,69.0,3,W,13,1016.1,15.7,50.0,7,NW,11,1013.0,No,No
2023-05-29,9.7,21.2,0.0,5.4,9.1,W,44.0,12.9,70.0,1,W,13,1016.9,20.3,39.0,1,WSW,30,1015.7,No,No
2023-05-30,8.9,21.6,0.0,4.0,9.2,W,33.0,12.2,73.0,2,W,13,1023.5,21.0,46.0,7,WNW,17,1019.9,No,No
2023-05-31,10.0,20.8,0.0,2.2,6.9,W,22.0,14.6,71.0,7,W,7,1020.8,19.9,57.0,7,WNW,7,1016.4,No,No
2023-06-1,14.4,19.3,0.0,2.2,1.0,SSW,28.0,15.7,76.0,7,NNW,4,1018.2,19.2,67.0,3,SE,6,1017.1,No,No
2023-06-2,12.1,19.8,0.0,1.8,8.0,WNW,24.0,14.1,96.0,4,WNW,13,1025.5,19.4,78.0,2,E,17,1022.9,No,No
2023-06-3,14.1,22.0,0.0,1.8,5.8,SSE,35.0,14.7,100.0,7,W,13,1025.3,21.1,66.0,6,SE,11,1023.7,No,No
2023-06-4,14.6,18.4,0.0,3.8,0.2,S,35.0,17.3,74.0,7,SE,17,1033.4,17.5,65.0,6,ESE,20,1031.9,No,No
2023-06-5,14.1,18.7,0.0,3.0,1.8,ENE,37.0,16.2,73.0,7,ESE,13,1032.7,15.7,86.0,7,E,6,1028.8,No,Yes
2023-06-6,13.7,19.2,5.0,3.2,2.9,ENE,22.0,14.6,99.0,8,SW,2,1029.8,19.1,75.0,6,ENE,13,1026.4,Yes,No
2023-06-7,12.1,20.7,0.0,2.6,8.3,NNE,37.0,13.8,98.0,1,WNW,11,1027.2,19.8,63.0,1,NE,20,1023.2,No,No
2023-06-8,12.8,17.8,0.0,2.2,0.6,N,31.0,15.2,87.0,7,E,2,1017.3,16.1,81.0,8,N,15,1011.8,No,Yes
2023-06-9,10.0,20.6,0.2,2.4,9.7,W,43.0,13.9,62.0,1,WNW,11,1016.4,20.2,42.0,3,W,30,1014.5,Yes,No
2023-06-10,8.9,19.0,0.0,4.0,9.1,WSW,33.0,10.4,81.0,1,WNW,15,1023.2,18.4,39.0,1,E,9,1021.4,No,No
2023-06-11,7.4,18.3,0.0,3.6,9.0,W,26.0,10.1,80.0,1,WNW,19,1026.3,18.1,52.0,1,ENE,11,1022.5,No,No
2023-06-12,7.5,19.3,0.0,0.8,4.7,W,28.0,9.0,91.0,7,W,17,1022.8,19.1,65.0,3,ENE,15,1017.8,No,No
2023-06-13,9.0,20.6,0.0,1.4,8.1,WSW,46.0,12.2,90.0,2,WNW,17,1014.7,20.2,51.0,1,NNW,26,1010.6,No,No
2023-06-14,10.2,18.6,0.0,3.4,9.3,W,48.0,13.4,61.0,1,WNW,11,1013.3,18.4,31.0,1,W,30,1012.4,No,No
2023-06-15,7.9,18.8,0.0,4.0,9.2,W,33.0,10.5,67.0,1,WNW,9,1017.9,18.7,39.0,3,W,20,1015.3,No,No
2023-06-16,8.0,19.0,0.0,3.6,9.2,W,24.0,10.6,76.0,1,W,19,1022.0,18.0,53.0,1,ESE,13,1019.8,No,No
2023-06-17,7.8,18.4,0.0,2.8,9.3,NNW,24.0,9.9,81.0,0,WNW,17,1022.4,18.1,55.0,0,E,9,1017.1,No,No
2023-06-18,7.0,19.3,0.0,3.0,7.8,WNW,48.0,10.2,79.0,0,ESE,4,1016.1,18.2,36.0,5,W,22,1012.6,No,No
2023-06-19,5.9,17.7,0.0,4.0,8.4,WSW,46.0,8.2,70.0,7,W,19,1016.8,17.4,34.0,1,NW,19,1011.5,No,No
2023-06-20,6.8,15.3,0.0,4.4,9.1,W,43.0,9.1,57.0,1,W,24,1020.5,14.8,40.0,3,SSW,19,1020.0,No,No
2023-06-21,5.2,17.3,0.0,2.2,9.1,W,33.0,7.1,71.0,1,W,22,1024.8,16.8,36.0,1,NW,9,1022.1,No,No
2023-06-22,7.1,15.2,0.0,2.0,1.0,W,26.0,9.7,73.0,7,WNW,17,1020.4,14.6,70.0,8,NNE,7,1015.7,No,Yes
2023-06-23,9.7,18.9,8.6,2.4,8.1,NW,50.0,11.6,98.0,1,WNW,9,1009.3,18.7,36.0,1,WNW,22,1006.5,Yes,No
2023-06-24,9.3,20.2,0.0,3.8,9.1,WNW,31.0,12.5,65.0,2,WNW,13,1014.4,20.0,38.0,3,NNW,15,1010.7,No,No
2023-06-25,11.6,20.3,0.0,4.4,9.2,W,61.0,14.0,48.0,1,WNW,9,1012.7,20.0,29.0,1,W,28,1009.7,No,No
2023-06-26,10.8,19.5,0.0,6.4,9.0,W,67.0,14.4,47.0,1,NW,17,1013.9,18.9,33.0,1,W,35,1012.4,No,No
2023-06-27,10.1,18.4,0.0,6.4,7.3,W,37.0,12.5,62.0,6,W,13,1021.8,18.3,43.0,7,WNW,11,1018.5,No,Yes
2023-06-28,11.0,11.7,0.8,1.4,0.0,W,30.0,11.3,86.0,7,WNW,17,1017.7,10.4,96.0,8,W,13,1012.9,Yes,Yes
2023-06-29,7.9,16.3,3.0,1.6,9.1,W,39.0,10.2,69.0,1,W,9,1017.3,16.2,40.0,1,W,20,1015.5,Yes,Yes
2023-06-30,7.5,18.9,0.2,3.0,9.2,W,46.0,10.7,60.0,0,W,30,1017.8,18.6,41.0,1,W,24,1016.6,Yes,No
2023-07-1,7.3,18.6,0.0,2.8,9.1,W,41.0,10.8,70.0,2,W,9,1020.6,18.4,43.0,2,WSW,19,1019.3,No,No
2023-07-2,7.9,17.8,0.0,5.8,8.6,SSE,33.0,10.0,73.0,2,WNW,22,1030.8,17.0,56.0,4,S,19,1029.3,No,No
2023-07-3,9.8,18.3,0.0,2.0,2.8,W,26.0,11.1,80.0,7,WNW,17,1031.2,17.2,73.0,7,ESE,11,1027.2,No,Yes
2023-07-4,11.1,15.9,2.4,1.2,0.0,N,22.0,13.2,99.0,8,WNW,4,1021.0,15.6,93.0,8,NW,11,1015.3,Yes,Yes
2023-07-5,12.4,21.6,2.0,1.0,6.5,W,26.0,12.9,99.0,7,WNW,15,1012.6,21.6,55.0,3,WNW,13,1010.4,Yes,No
2023-07-6,9.4,17.6,0.0,2.4,8.2,NW,37.0,11.1,80.0,1,W,17,1014.5,16.0,52.0,7,WNW,9,1009.7,No,No
2023-07-7,8.9,18.9,0.0,3.4,9.3,W,41.0,11.3,75.0,1,W,9,1011.2,18.1,36.0,1,WSW,24,1010.2,No,No
2023-07-8,8.7,19.7,0.0,3.4,9.3,NW,69.0,12.9,56.0,1,N,26,1013.8,19.6,32.0,1,WNW,44,1009.6,No,No
2023-07-9,11.1,19.0,0.0,5.2,9.3,W,59.0,13.7,54.0,1,WNW,33,1017.0,18.7,41.0,1,W,35,1016.3,No,No
2023-07-10,9.7,19.9,0.0,6.2,9.3,W,33.0,12.7,67.0,1,W,9,1022.5,19.7,42.0,1,WNW,9,1020.2,No,No
2023-07-11,7.4,20.3,0.0,2.8,9.4,W,35.0,10.1,70.0,0,W,20,1026.0,20.2,36.0,0,WNW,11,1024.3,No,No
2023-07-12,7.8,19.6,0.0,2.6,9.3,W,26.0,10.0,81.0,1,W,19,1030.7,18.2,59.0,1,ENE,17,1027.2,No,No
2023-07-13,7.5,21.9,0.0,2.8,9.4,W,20.0,9.0,91.0,0,WNW,13,1028.2,21.2,36.0,1,WSW,6,1024.5,No,No
2023-07-14,8.3,23.3,0.0,3.2,9.3,NW,26.0,10.8,75.0,4,WNW,7,1025.2,23.2,35.0,3,NNW,15,1020.5,No,No
2023-07-15,10.8,23.6,0.0,2.2,7.5,WNW,44.0,16.7,58.0,7,N,17,1021.2,23.1,33.0,7,WNW,22,1018.4,No,No
2023-07-16,13.5,18.1,0.0,7.4,0.0,SSW,41.0,16.4,85.0,7,SSW,9,1027.6,15.8,90.0,7,S,7,1027.7,No,Yes
2023-07-17,12.0,18.2,2.4,0.6,4.4,ENE,22.0,13.4,99.0,7,W,17,1030.6,16.8,80.0,6,ENE,11,1027.8,Yes,No
2023-07-18,10.2,21.9,0.0,2.8,6.8,,,12.2,98.0,2,WNW,17,1024.1,21.7,39.0,2,WNW,15,1018.4,No,Yes
2023-07-19,8.7,16.0,0.2,2.8,9.4,,,10.3,57.0,1,W,20,1023.4,15.5,41.0,1,S,17,1022.2,Yes,No
2023-07-20,5.1,19.5,0.0,4.0,9.4,,,7.5,81.0,2,W,22,1021.7,19.4,35.0,3,N,9,1014.3,No,No
2023-07-21,7.5,20.1,0.0,3.8,4.6,WNW,48.0,13.6,61.0,6,WNW,24,1016.5,17.6,50.0,5,SSE,20,1015.7,No,No
2023-07-22,7.1,17.0,0.0,3.2,9.2,W,35.0,9.3,65.0,2,W,28,1022.6,15.6,53.0,5,S,20,1020.6,No,No
2023-07-23,7.3,17.7,0.0,2.8,8.6,S,41.0,9.8,77.0,4,WNW,20,1023.3,17.6,49.0,4,SSW,20,1022.7,No,Yes
2023-07-24,9.8,17.1,14.0,3.8,3.8,W,33.0,12.3,100.0,5,WNW,20,1029.0,16.7,68.0,4,S,15,1028.5,Yes,No
2023-07-25,7.9,19.7,0.0,2.2,9.5,WNW,26.0,10.1,88.0,1,W,19,1036.0,16.9,69.0,2,SE,13,1034.8,No,No
2023-07-26,8.3,20.7,0.0,2.6,9.5,WSW,24.0,10.0,95.0,1,WNW,17,1036.2,19.6,53.0,0,E,11,1030.7,No,No
2023-07-27,8.1,19.5,0.0,3.0,9.7,W,30.0,10.5,76.0,1,W,22,1032.2,18.9,70.0,1,ENE,17,1026.3,No,No
2023-07-28,10.4,24.4,0.0,4.8,6.1,W,31.0,15.9,57.0,7,N,15,1021.7,24.1,35.0,5,W,20,1019.2,No,No
2023-07-29,12.8,22.6,0.0,3.8,7.3,ENE,26.0,15.4,79.0,4,WNW,11,1023.4,20.2,58.0,7,ENE,17,1019.7,No,No
2023-07-30,11.6,25.2,0.0,4.0,9.8,NW,31.0,14.6,78.0,1,W,13,1020.8,24.9,35.0,2,WNW,20,1016.0,No,No
2023-07-31,12.3,23.5,0.0,4.0,9.7,W,46.0,15.1,59.0,1,WNW,20,1022.7,23.4,33.0,0,WNW,11,1020.1,No,No
2023-08-1,10.7,21.9,0.0,4.2,9.7,W,37.0,13.4,62.0,1,W,24,1026.6,21.4,37.0,1,E,13,1026.4,No,No
2023-08-2,11.1,18.9,0.0,3.0,1.4,W,24.0,13.5,77.0,6,WNW,17,1035.8,17.6,72.0,7,E,13,1034.3,No,No
2023-08-3,9.7,21.7,0.0,1.6,9.8,NNE,31.0,12.3,97.0,1,W,11,1035.9,19.8,64.0,2,NE,17,1031.6,No,No
2023-08-4,10.1,20.7,0.0,4.0,9.8,NNE,33.0,12.1,89.0,5,WNW,9,1033.7,19.9,64.0,2,ENE,15,1028.5,No,No
2023-08-5,12.1,16.4,0.0,5.0,0.0,W,30.0,14.1,67.0,7,WNW,11,1030.0,16.3,66.0,7,E,4,1028.6,No,Yes
2023-08-6,12.2,17.0,16.6,1.4,0.5,SSW,37.0,13.5,91.0,6,W,11,1033.0,16.2,70.0,7,SSW,19,1031.2,Yes,No
2023-08-7,10.8,16.3,0.0,2.4,0.3,SW,24.0,13.5,86.0,7,SSW,13,1031.7,15.5,76.0,7,SSW,15,1029.9,No,Yes
2023-08-8,11.0,19.2,8.2,0.6,6.7,SSE,28.0,11.9,96.0,5,WNW,17,1032.5,18.0,59.0,5,SSE,17,1030.0,Yes,No
2023-08-9,11.0,20.9,0.0,3.4,8.8,N,39.0,13.4,88.0,1,W,19,1032.0,20.7,57.0,1,NE,19,1026.2,No,No
2023-08-10,12.4,23.8,0.0,3.6,9.1,W,54.0,16.6,50.0,5,N,17,1021.0,21.4,32.0,5,WNW,33,1015.7,No,No
2023-08-11,9.2,19.7,0.0,4.0,10.0,W,31.0,12.3,60.0,1,W,22,1023.2,17.7,55.0,1,ENE,17,1019.8,No,No
2023-08-12,7.7,21.3,0.0,5.2,8.5,W,28.0,11.5,73.0,1,W,11,1019.8,20.7,33.0,5,SW,13,1015.6,No,No
2023-08-13,11.5,18.5,0.0,4.2,2.9,SSE,31.0,13.8,71.0,7,W,11,1019.4,15.9,71.0,6,SSE,24,1018.1,No,Yes
2023-08-14,11.6,16.0,15.6,1.6,0.5,S,31.0,13.2,99.0,7,SSW,7,1016.9,13.6,95.0,7,SSW,15,1014.7,Yes,Yes
2023-08-15,8.3,16.7,3.0,1.4,8.6,SSE,41.0,11.2,86.0,3,W,22,1020.7,16.4,66.0,5,S,22,1020.0,Yes,Yes
2023-08-16,8.8,17.3,12.6,1.8,6.0,W,24.0,10.9,98.0,7,W,19,1023.6,15.3,73.0,6,E,15,1019.1,Yes,No
2023-08-17,8.2,21.3,0.0,3.4,9.8,WNW,24.0,10.9,92.0,1,W,19,1014.9,19.7,45.0,4,E,17,1009.4,No,Yes
2023-08-18,10.9,19.2,9.2,2.8,9.4,W,67.0,13.3,86.0,5,NW,22,1002.9,17.7,35.0,4,W,33,1003.3,Yes,Yes
2023-08-19,8.9,19.1,0.2,6.4,10.6,WSW,54.0,11.8,53.0,1,W,26,1016.3,17.9,42.0,3,W,22,1015.3,Yes,No
2023-08-20,11.0,22.5,0.0,4.2,11.0,W,33.0,14.5,66.0,1,W,22,1022.9,20.1,46.0,1,E,20,1021.0,No,No
2023-08-21,11.5,21.6,0.0,4.8,10.2,E,24.0,14.8,69.0,1,WNW,13,1023.7,18.8,59.0,1,ENE,17,1020.0,No,No
2023-08-22,10.1,24.6,0.0,4.4,7.8,NNW,44.0,13.5,77.0,6,WNW,13,1021.1,22.5,50.0,7,NE,19,1016.3,No,Yes
2023-08-23,11.4,18.6,1.0,5.2,5.0,W,50.0,14.2,58.0,1,W,28,1022.7,15.0,86.0,8,SSW,22,1023.9,Yes,Yes
2023-08-24,11.2,20.8,0.8,2.8,6.9,WNW,22.0,13.7,93.0,3,WNW,17,1029.8,18.3,57.0,5,E,11,1027.0,Yes,No
2023-08-25,9.1,,0.0,3.0,10.6,SSW,24.0,12.6,80.0,1,WNW,17,1027.0,20.6,55.0,3,SE,17,1024.9,No,No
2023-08-26,10.3,20.2,0.0,3.6,9.4,SSE,28.0,13.8,84.0,5,WNW,17,1029.4,18.4,68.0,3,SSE,15,1027.4,No,No
2023-08-27,10.5,20.5,0.0,,9.4,E,24.0,14.0,90.0,2,W,13,1029.0,19.5,61.0,4,E,17,1026.3,No,No
2023-08-28,10.7,20.4,0.0,3.2,8.7,NE,33.0,14.3,90.0,3,W,11,1026.8,19.8,60.0,5,ENE,20,1022.3,No,No
2023-08-29,11.0,20.9,0.0,4.8,10.5,NNE,31.0,14.2,90.0,1,W,7,1021.3,20.3,63.0,2,ENE,17,1016.2,No,No
2023-08-30,11.8,27.5,0.0,5.2,6.8,SSW,52.0,15.4,71.0,3,W,4,1014.3,20.9,62.0,7,ENE,13,1010.2,No,Yes
2023-08-31,11.5,20.5,9.4,4.6,9.7,S,39.0,15.1,85.0,3,W,17,1016.7,18.5,69.0,3,SE,13,1014.7,Yes,Yes
2023-09-1,11.1,18.5,0.4,3.8,8.6,SSE,63.0,13.5,79.0,6,WNW,11,1019.7,17.0,47.0,2,SSE,37,1019.2,Yes,Yes
2023-09-2,8.7,18.7,0.4,5.8,10.3,S,37.0,12.7,65.0,3,W,17,1023.7,18.2,59.0,3,S,17,1020.4,Yes,Yes
2023-09-3,10.3,21.0,0.2,4.6,7.9,ESE,24.0,13.2,84.0,6,WNW,9,1022.6,19.2,55.0,5,ESE,17,1018.7,Yes,No
2023-09-4,10.3,20.6,0.0,3.0,9.7,NE,41.0,14.6,80.0,2,W,6,1017.1,20.1,65.0,4,ENE,22,1011.2,No,No
2023-09-5,13.5,25.5,0.0,3.6,9.8,WSW,48.0,18.9,56.0,1,W,31,1010.9,24.8,18.0,1,W,19,1011.3,No,No
2023-09-6,10.4,21.0,0.0,7.0,10.7,NNE,48.0,15.7,56.0,0,NW,2,1023.2,19.9,51.0,0,NE,22,1019.6,No,No
2023-09-7,10.3,25.3,0.0,6.0,10.2,NW,69.0,13.8,78.0,1,W,13,1020.0,21.2,67.0,1,NE,20,1013.4,No,Yes
2023-09-8,13.0,19.1,5.0,9.2,3.7,NW,74.0,13.1,92.0,7,W,20,1016.8,18.6,32.0,1,WNW,28,1014.8,Yes,Yes
2023-09-9,9.3,19.7,2.8,4.4,10.7,W,44.0,12.9,47.0,0,WSW,24,1025.5,17.2,35.0,1,SE,19,1024.2,Yes,No
